Order ID,Customer Name,Segment,Country,Region,Product Category,Product Name,Sales,Quantity,Discount,Profit,Order Date
ORD-1019,Crystal Harris,Home Office,Canada,West,Technology,Phone,687.28,9,0.16,138.59,2023-01-15
ORD-1020,Christopher Hays,Consumer,France,West,Technology,Printer,2821.51,7,0.19,450.1,2023-03-10
ORD-1021,Joshua Jackson,Home Office,Germany,East,Furniture,Table,288.08,2,0.18,30.98,2023-04-15
ORD-1022,Andrew Ward,Consumer,United States,East,Technology,Laptop,170.4,4,0.01,22.6,2023-04-06
ORD-1023,Mary Joyce,Home Office,Canada,Central,Technology,Phone,855.57,4,0.22,231.51,2023-12-06
ORD-1024,Ryan Mitchell,Home Office,Germany,West,Office Supplies,Stapler,179.9,4,0.2,24.93,2023-05-30
ORD-1025,Kenneth Bean,Corporate,Germany,East,Technology,Laptop,186.55,1,0.1,49.51,2023-10-03
ORD-1026,Peter Johnson,Consumer,Canada,West,Technology,Phone,598.15,3,0.08,67.26,2023-03-17
ORD-1027,Peter Garner,Consumer,Germany,East,Furniture,Chair,695.88,2,0.25,63.73,2023-01-12
ORD-1028,Taylor Davis,Corporate,Germany,West,Office Supplies,Paper,410.97,3,0.3,47.8,2023-09-17
ORD-1029,Jessica Jones,Corporate,United Kingdom,South,Technology,Phone,287.51,3,0.07,18.58,2023-11-10
ORD-1030,Theresa Cunningham,Home Office,France,East,Technology,Printer,29.73,1,0.14,8.32,2023-02-18
ORD-1031,Brian Lee,Home Office,Canada,East,Technology,Laptop,128.13,3,0.02,34.01,2023-07-17
ORD-1032,Jessica Costa,Corporate,United States,West,Technology,Laptop,401.36,10,0.2,76.78,2023-07-14
ORD-1033,Michael Le,Corporate,United Kingdom,West,Technology,Printer,538.18,4,0.04,113.76,2023-11-13
ORD-1034,Raymond Harris Jr.,Corporate,United Kingdom,East,Furniture,Sofa,3494.68,10,0.3,238.74,2023-04-30
ORD-1035,Jose Terrell,Consumer,France,Central,Furniture,Bookcase,784.7,2,0.11,70.18,2023-09-28
ORD-1036,Angela Moore,Home Office,Australia,Central,Technology,Laptop,1128.24,9,0.2,321.25,2023-06-07
ORD-1037,Ryan Washington,Consumer,United Kingdom,East,Furniture,Table,695.88,5,0.06,94.44,2023-03-04
ORD-1038,Savannah Richards,Home Office,Australia,Central,Technology,Phone,1701.04,5,0.25,124.3,2023-08-21
ORD-1039,Linda Clark MD,Corporate,United Kingdom,East,Furniture,Bookcase,889.24,3,0.08,209.25,2023-12-09
ORD-1040,Howard Berry,Home Office,Australia,South,Technology,Laptop,69.37,2,0.26,19.14,2023-12-29
ORD-1041,Suzanne Guerrero,Home Office,United States,Central,Technology,Monitor,461.51,7,0.09,126.8,2023-10-20
ORD-1042,James Holmes,Consumer,United Kingdom,West,Technology,Monitor,304.28,2,0.17,81.75,2023-01-26
ORD-1043,Courtney Harrison,Home Office,Australia,West,Furniture,Table,1312.41,3,0.01,307.29,2023-11-02
ORD-1044,Kelly Levy,Corporate,Germany,West,Office Supplies,Binder,390.95,2,0.01,65.55,2023-05-30
ORD-1045,Daniel Conway,Consumer,Germany,Central,Office Supplies,Binder,81.22,4,0.06,10.73,2023-03-11
ORD-1046,Alexis Rios,Consumer,United Kingdom,Central,Technology,Phone,1534.84,9,0.01,413.27,2023-03-19
ORD-1047,Bridget Wells,Corporate,Canada,Central,Furniture,Chair,1738.93,10,0.22,223.31,2023-10-28
ORD-1048,Vicki Blackwell,Home Office,France,East,Office Supplies,Binder,138.11,5,0.13,24.86,2023-02-16
ORD-1049,Andrea Mclaughlin,Home Office,Australia,West,Office Supplies,Stapler,683.93,2,0.28,140.75,2023-12-16
ORD-1050,Brendan West,Home Office,United States,Central,Technology,Printer,939.16,7,0.21,177.13,2023-09-19
ORD-1051,Wanda Anderson,Consumer,Germany,South,Technology,Monitor,2541.97,10,0.12,656.92,2023-06-13
ORD-1052,Michael Wiggins,Corporate,United Kingdom,West,Office Supplies,Pen,1449.47,8,0.2,257.71,2023-09-08
ORD-1053,Jasmine David,Home Office,Canada,East,Office Supplies,Pen,632.99,2,0.23,138.12,2023-08-17
ORD-1054,Robert Bates,Consumer,Canada,West,Furniture,Chair,1614.19,4,0.18,390.83,2023-05-10
ORD-1055,Bryan Rodriguez,Corporate,Germany,West,Technology,Phone,1580.77,8,0.04,350.78,2023-07-23
ORD-1056,Joy Perry,Consumer,Germany,West,Furniture,Sofa,203.85,1,0.28,16.38,2023-11-19
ORD-1057,Sarah Byrd,Consumer,Germany,Central,Office Supplies,Stapler,1953.67,9,0.05,518.45,2023-09-10
ORD-1058,Patrick Fitzpatrick,Corporate,United Kingdom,West,Technology,Printer,2071.16,9,0.07,331.32,2023-04-06
ORD-1059,Gregory Vargas,Home Office,United Kingdom,West,Office Supplies,Pen,2631.77,6,0.02,230.83,2023-12-01
ORD-1060,Claudia Sanchez,Corporate,Australia,West,Technology,Monitor,383.92,2,0.1,63.92,2023-10-26
ORD-1061,Jessica Smith,Consumer,Canada,South,Office Supplies,Paper,1963.9,10,0.0,270.9,2023-02-05
ORD-1062,Matthew Lee,Corporate,Germany,West,Office Supplies,Binder,1106.62,5,0.01,148.32,2023-08-26
ORD-1063,Patrick Preston,Home Office,Germany,West,Office Supplies,Binder,1983.56,10,0.27,392.69,2023-10-21
ORD-1064,Sara Hurley,Home Office,United States,East,Technology,Phone,1239.07,3,0.05,142.54,2023-04-25
ORD-1065,Michael Bailey,Corporate,Canada,South,Office Supplies,Pen,727.36,7,0.29,113.03,2023-07-01
ORD-1066,Joshua Solomon,Consumer,Germany,East,Technology,Laptop,704.84,6,0.02,203.93,2023-07-27
ORD-1067,Julie Christensen,Consumer,United States,West,Furniture,Chair,812.83,10,0.04,176.68,2023-10-15
ORD-1068,Jamie King,Home Office,Canada,South,Technology,Printer,453.72,6,0.18,107.52,2023-03-31
ORD-1069,Matthew Donovan,Consumer,Canada,Central,Furniture,Chair,1066.31,5,0.27,153.36,2023-09-20
ORD-1070,Caleb Huff,Home Office,Canada,East,Technology,Monitor,639.95,2,0.09,141.47,2023-06-07
ORD-1071,Jerry Ball,Consumer,France,East,Office Supplies,Stapler,212.82,6,0.19,11.31,2023-07-12
ORD-1072,Brittany Mcpherson,Corporate,Germany,East,Office Supplies,Pen,2481.8,8,0.13,579.37,2023-03-23
ORD-1073,Diana Stewart,Home Office,United Kingdom,South,Office Supplies,Stapler,1047.17,10,0.26,269.84,2023-09-25
ORD-1074,Jason Russell,Consumer,United Kingdom,South,Furniture,Sofa,2750.63,10,0.11,157.27,2023-09-25
ORD-1075,Cindy Compton,Corporate,Canada,South,Furniture,Bookcase,654.05,5,0.26,147.35,2023-10-25
ORD-1076,Jason Gaines,Corporate,France,East,Technology,Monitor,225.74,2,0.12,42.62,2023-04-29
ORD-1077,Tanner Douglas,Consumer,Australia,South,Technology,Phone,3092.67,8,0.03,325.96,2023-08-17
ORD-1078,Larry Smith,Home Office,Canada,Central,Technology,Printer,2024.64,8,0.1,605.69,2023-12-16
ORD-1079,Lisa Bates,Home Office,United Kingdom,Central,Technology,Phone,745.16,5,0.07,171.63,2023-07-14
ORD-1080,Joe Williams,Corporate,United States,West,Furniture,Table,954.35,8,0.18,229.09,2023-08-01
ORD-1081,Andrew Jackson,Home Office,United Kingdom,East,Furniture,Bookcase,680.06,4,0.09,154.38,2023-10-12
ORD-1082,Christopher Austin,Consumer,United Kingdom,East,Furniture,Bookcase,745.11,3,0.23,56.37,2023-11-26
ORD-1083,Jeffrey Miles,Consumer,France,Central,Office Supplies,Stapler,1005.08,8,0.29,113.69,2023-06-04
ORD-1084,David Smith MD,Corporate,United States,East,Office Supplies,Stapler,462.53,2,0.21,40.67,2023-01-02
ORD-1085,Jean Ray,Home Office,United Kingdom,East,Furniture,Chair,2838.2,9,0.18,702.98,2023-09-29
ORD-1086,Michael Hoffman,Consumer,France,South,Office Supplies,Stapler,1510.18,5,0.3,190.8,2023-08-03
ORD-1087,Gina Trujillo,Home Office,United States,East,Furniture,Table,1584.65,5,0.05,148.09,2023-06-12
ORD-1088,Jessica Johnson,Consumer,Canada,East,Office Supplies,Stapler,2378.57,10,0.01,290.25,2023-01-05
ORD-1089,Paul Williams,Corporate,Australia,South,Furniture,Table,1603.96,5,0.19,345.33,2023-07-22
ORD-1090,Ashley Cochran,Consumer,Germany,East,Technology,Monitor,1024.02,3,0.25,69.48,2023-06-08
ORD-1091,Lucas Ruiz,Consumer,United Kingdom,Central,Office Supplies,Paper,2195.88,8,0.21,627.29,2023-01-22
ORD-1092,Nicole Jones,Home Office,France,South,Office Supplies,Paper,256.91,10,0.13,33.55,2023-04-11
ORD-1093,Barbara Burke,Corporate,United States,East,Furniture,Chair,1125.59,5,0.23,105.58,2023-05-20
ORD-1094,James Nelson,Home Office,Australia,South,Office Supplies,Binder,1699.21,10,0.24,496.62,2023-11-14
ORD-1095,Cindy Dodson,Corporate,United Kingdom,South,Office Supplies,Pen,774.52,2,0.1,173.04,2023-06-15
ORD-1096,Jeffrey Benson,Corporate,Australia,South,Technology,Laptop,391.18,8,0.08,30.9,2023-06-24
ORD-1097,Robert Brock,Corporate,France,East,Technology,Phone,214.97,7,0.16,44.21,2023-04-30
ORD-1098,Jimmy Lawrence,Corporate,Australia,South,Furniture,Table,1004.83,5,0.28,160.3,2023-08-07
ORD-1099,Walter Carrillo,Home Office,Germany,East,Furniture,Table,486.81,3,0.0,73.99,2023-11-23
ORD-1100,Melissa Mills,Consumer,United States,South,Furniture,Table,3399.76,8,0.09,769.55,2023-08-27
ORD-1101,Jeremy Dominguez,Corporate,Germany,South,Furniture,Sofa,684.16,9,0.06,136.73,2023-01-22
ORD-1102,Leslie Scott,Home Office,Canada,East,Office Supplies,Stapler,2385.68,6,0.15,608.68,2023-01-06
ORD-1103,Kevin Obrien,Corporate,Australia,Central,Technology,Phone,583.47,3,0.15,77.67,2023-12-05
ORD-1104,Brenda Martinez,Home Office,Germany,South,Office Supplies,Binder,1079.47,4,0.07,263.27,2023-08-04
ORD-1105,Veronica Hill,Consumer,United Kingdom,South,Technology,Phone,2629.78,7,0.24,560.16,2023-01-20
ORD-1106,Ray Morales,Consumer,Germany,East,Furniture,Bookcase,762.73,2,0.13,138.43,2023-02-19
ORD-1107,Ashley Manning,Corporate,United States,West,Office Supplies,Binder,340.87,2,0.29,45.89,2023-01-26
ORD-1108,Bonnie Barrett,Home Office,Germany,East,Office Supplies,Stapler,1389.03,6,0.27,238.89,2023-11-11
ORD-1109,Lance Black,Home Office,United States,East,Furniture,Bookcase,1308.2,4,0.13,97.61,2023-09-17
ORD-1110,Steve Carter,Home Office,Australia,East,Office Supplies,Binder,2240.77,5,0.01,558.03,2023-07-08
ORD-1111,Nicole Johnson,Corporate,United Kingdom,Central,Office Supplies,Binder,897.3,4,0.17,222.65,2023-08-17
ORD-1112,Cindy Rios,Consumer,Canada,East,Technology,Phone,2930.29,10,0.15,573.72,2023-11-11
ORD-1113,Cindy Howard,Consumer,Germany,Central,Office Supplies,Pen,387.4,1,0.14,47.23,2023-06-14
ORD-1114,Alexandra Powell,Home Office,Canada,East,Office Supplies,Pen,1111.79,10,0.29,247.46,2023-08-24
ORD-1115,Andrew Macdonald,Corporate,United Kingdom,West,Office Supplies,Stapler,209.54,2,0.17,40.59,2023-11-03
ORD-1116,Mary Ruiz,Home Office,United Kingdom,East,Technology,Phone,51.69,5,0.26,12.64,2023-06-13
ORD-1117,Darlene Sanchez,Consumer,France,South,Office Supplies,Binder,3747.43,10,0.07,365.5,2023-03-13
ORD-1118,Jack Rose MD,Corporate,Australia,West,Technology,Laptop,140.4,1,0.13,27.36,2023-09-28
ORD-1119,Carolyn Mills,Home Office,Canada,East,Office Supplies,Pen,645.52,7,0.04,119.33,2023-10-19
ORD-1120,Michael Garcia,Corporate,France,Central,Furniture,Bookcase,3523.67,8,0.09,942.93,2023-12-15
ORD-1121,Daniel Hall,Consumer,Germany,East,Furniture,Table,2574.67,7,0.24,364.17,2023-04-11
ORD-1122,Amber Young,Corporate,United States,Central,Technology,Laptop,1189.41,8,0.22,137.42,2023-05-23
ORD-1123,Cody Watson,Corporate,Australia,Central,Furniture,Table,130.0,8,0.27,24.75,2023-09-14
ORD-1124,Michael Henderson,Home Office,Canada,East,Technology,Phone,1575.02,5,0.04,96.61,2023-03-15
ORD-1125,Laura Huang,Consumer,United Kingdom,South,Furniture,Chair,1707.88,4,0.04,279.09,2023-07-31
ORD-1126,Robert Ford,Home Office,Australia,South,Technology,Monitor,1737.28,7,0.25,354.25,2023-11-21
ORD-1127,Sophia Hill,Corporate,United States,Central,Furniture,Sofa,2816.56,8,0.26,210.79,2023-03-29
ORD-1128,Dean Robertson,Home Office,United Kingdom,Central,Furniture,Sofa,494.45,5,0.04,129.55,2023-04-09
ORD-1129,Jennifer Esparza,Corporate,United States,West,Technology,Laptop,367.84,1,0.07,29.97,2023-06-08
ORD-1130,Kimberly Delgado,Home Office,Canada,East,Technology,Monitor,857.07,10,0.26,113.25,2023-04-20
ORD-1131,Tommy Green,Consumer,France,East,Office Supplies,Binder,626.34,3,0.24,48.53,2023-07-11
ORD-1132,Tiffany Wilson,Consumer,Canada,East,Office Supplies,Binder,1602.17,10,0.05,101.1,2023-12-05
ORD-1133,Elaine Ellis,Home Office,Germany,East,Technology,Laptop,1635.11,8,0.11,324.43,2023-07-14
ORD-1134,Jeanne Newman,Corporate,France,West,Technology,Laptop,1150.36,9,0.19,66.48,2023-03-07
ORD-1135,Michele Smith,Corporate,Germany,South,Technology,Laptop,2499.2,8,0.13,686.82,2023-12-08
ORD-1136,Joseph Dean,Corporate,France,West,Furniture,Table,1295.27,5,0.18,295.37,2023-01-10
ORD-1137,Stephanie Martin,Corporate,France,Central,Office Supplies,Stapler,773.32,2,0.03,165.24,2023-07-12
ORD-1138,Edward Green,Home Office,Australia,West,Office Supplies,Stapler,638.31,4,0.25,95.54,2023-09-29
ORD-1139,Mandy Allen,Home Office,United States,Central,Office Supplies,Pen,918.7,5,0.05,257.92,2023-02-04
ORD-1140,Anthony Murphy,Consumer,United States,East,Furniture,Sofa,667.23,2,0.11,55.07,2023-01-02
ORD-1141,Mckenzie Williamson,Consumer,France,Central,Technology,Laptop,1026.26,7,0.2,243.81,2023-06-09
ORD-1142,Julie Martinez,Home Office,United States,Central,Technology,Printer,309.88,6,0.15,27.48,2023-01-06
ORD-1143,Perry Wells,Corporate,Canada,East,Office Supplies,Pen,636.91,2,0.17,160.38,2023-04-21
ORD-1144,Nicole Griffith,Home Office,France,East,Technology,Printer,77.74,1,0.21,9.89,2023-11-26
ORD-1145,Andrea Wells,Corporate,United Kingdom,East,Furniture,Table,3254.58,10,0.02,765.61,2023-04-01
ORD-1146,Justin Hardy,Consumer,United States,West,Office Supplies,Stapler,1260.52,8,0.11,290.42,2023-11-25
ORD-1147,Richard Gay,Home Office,France,East,Furniture,Table,1127.62,3,0.01,79.38,2023-03-06
ORD-1148,Kristen David,Corporate,Australia,South,Office Supplies,Stapler,775.35,7,0.23,60.83,2023-02-10
ORD-1149,Alan Lee,Corporate,United States,Central,Technology,Phone,3001.69,9,0.01,446.7,2023-11-10
ORD-1150,Patrick Hunt,Home Office,United States,East,Furniture,Bookcase,1188.88,4,0.23,145.47,2023-09-28
ORD-1151,Sandra Wade,Consumer,United States,South,Technology,Phone,184.72,3,0.16,19.86,2023-02-01
ORD-1152,James Hutchinson,Home Office,Australia,Central,Furniture,Sofa,192.42,1,0.14,13.37,2023-09-30
ORD-1153,Elizabeth Cruz,Corporate,France,South,Technology,Phone,935.46,7,0.12,272.73,2023-07-08
ORD-1154,Samantha Sparks,Consumer,France,South,Technology,Printer,434.54,2,0.03,69.06,2023-11-28
ORD-1155,Alyssa Lewis,Corporate,France,East,Office Supplies,Pen,547.79,6,0.23,37.85,2023-06-01
ORD-1156,Christina Ortiz,Home Office,United States,West,Office Supplies,Pen,362.22,3,0.04,35.97,2023-11-13
ORD-1157,Jeffrey Peterson,Home Office,Canada,East,Furniture,Sofa,2338.83,8,0.23,379.42,2023-10-25
ORD-1158,Steven Brown,Home Office,Australia,Central,Technology,Printer,581.74,3,0.14,120.91,2023-10-23
ORD-1159,Colleen Graham,Corporate,France,East,Office Supplies,Paper,1169.44,5,0.01,166.28,2023-04-19
ORD-1160,Michael Wallace,Corporate,United States,East,Technology,Phone,1671.96,8,0.29,392.46,2023-03-28
ORD-1161,Robert Kirk,Consumer,Germany,West,Office Supplies,Stapler,740.17,9,0.02,56.16,2023-10-06
ORD-1162,Henry Scott,Corporate,Australia,East,Technology,Monitor,114.31,1,0.13,18.27,2023-08-07
ORD-1163,Dr. Curtis Gonzalez,Home Office,France,West,Office Supplies,Pen,769.35,5,0.23,169.04,2023-01-03
ORD-1164,John Wheeler,Consumer,Australia,Central,Furniture,Bookcase,498.78,2,0.12,56.36,2023-12-28
ORD-1165,Monica Perez,Home Office,France,West,Office Supplies,Paper,2413.22,10,0.28,307.83,2023-12-27
ORD-1166,Jasmine Perez,Home Office,Australia,South,Furniture,Chair,1149.67,5,0.19,151.89,2023-10-19
ORD-1167,Mrs. Jessica Miller,Consumer,Australia,East,Technology,Phone,1500.27,9,0.11,142.62,2023-02-04
ORD-1168,Robert White,Consumer,United Kingdom,South,Furniture,Table,234.56,3,0.09,57.94,2023-09-30
ORD-1169,Ryan Ramirez,Home Office,France,East,Technology,Printer,660.47,10,0.11,59.81,2023-05-27
ORD-1170,Robert Williams,Home Office,France,West,Technology,Phone,169.06,1,0.2,18.49,2023-02-15
ORD-1171,Diana Reid,Corporate,France,Central,Technology,Phone,988.88,4,0.09,249.35,2023-12-24
ORD-1172,Jennifer Murphy,Corporate,Canada,Central,Technology,Phone,2384.04,8,0.23,418.94,2023-12-30
ORD-1173,Danny Reed,Corporate,Canada,West,Technology,Monitor,152.95,5,0.14,21.84,2023-09-14
ORD-1174,Christine Wade,Consumer,Australia,East,Office Supplies,Paper,314.64,3,0.27,27.32,2023-08-23
ORD-1175,James Luna,Corporate,United States,West,Office Supplies,Pen,187.7,1,0.12,26.93,2023-01-25
ORD-1176,Cody Hicks,Corporate,United States,Central,Furniture,Chair,2097.45,6,0.25,445.69,2023-03-28
ORD-1177,Catherine Fischer,Consumer,Canada,East,Office Supplies,Stapler,985.12,3,0.14,200.8,2023-06-17
ORD-1178,Susan Griffith,Consumer,United States,Central,Furniture,Table,3473.84,9,0.18,541.27,2023-07-08
ORD-1179,Blake Henderson,Corporate,Canada,Central,Furniture,Chair,655.76,4,0.24,107.73,2023-12-11
ORD-1180,Jacob Mueller,Consumer,Germany,East,Technology,Monitor,458.16,3,0.0,63.32,2023-10-07
ORD-1181,Barbara Gonzales,Home Office,Germany,West,Technology,Laptop,4300.46,9,0.02,780.6,2023-11-21
ORD-1182,Dr. Christina Coleman,Home Office,France,East,Office Supplies,Stapler,228.25,1,0.29,25.89,2023-09-03
ORD-1183,Theresa Ward,Consumer,United Kingdom,East,Office Supplies,Binder,605.34,2,0.22,80.59,2023-12-27
ORD-1184,Rhonda Campbell,Consumer,United Kingdom,Central,Technology,Monitor,3375.33,8,0.14,322.58,2023-03-28
ORD-1185,Brian Webb,Consumer,United States,South,Furniture,Bookcase,118.33,4,0.06,7.16,2023-09-16
ORD-1186,Marc Mathis,Corporate,France,South,Technology,Phone,113.16,5,0.19,13.75,2023-07-25
ORD-1187,Eric Phillips,Consumer,Australia,Central,Office Supplies,Paper,1183.3,6,0.12,189.25,2023-08-21
ORD-1188,Raymond Pitts DDS,Corporate,United Kingdom,West,Office Supplies,Stapler,2333.07,6,0.16,583.94,2023-01-19
ORD-1189,Joshua Shields,Home Office,Germany,East,Office Supplies,Binder,1343.98,9,0.03,177.38,2023-11-24
ORD-1190,Meagan Cummings,Corporate,United Kingdom,South,Technology,Phone,929.11,3,0.11,56.29,2023-06-25
ORD-1191,Christina Hall,Corporate,France,South,Office Supplies,Paper,596.43,2,0.12,106.33,2023-11-21
ORD-1192,Heather Lawson,Home Office,Australia,West,Furniture,Table,2977.66,10,0.13,242.85,2023-02-05
ORD-1193,Roger Fritz,Consumer,Australia,Central,Office Supplies,Stapler,245.76,10,0.05,39.93,2023-10-20
ORD-1194,Patricia Cain,Corporate,United Kingdom,South,Furniture,Table,1554.54,9,0.09,186.04,2023-06-02
ORD-1195,Jessica Reed,Consumer,United States,West,Office Supplies,Stapler,469.16,9,0.23,106.03,2023-09-20
ORD-1196,Linda Johnson,Consumer,France,Central,Technology,Phone,207.47,4,0.26,33.82,2023-08-07
ORD-1197,Mia Solis,Home Office,Germany,East,Technology,Printer,1802.66,6,0.16,220.99,2023-10-28
ORD-1198,Catherine Knight,Corporate,Canada,West,Office Supplies,Binder,748.92,2,0.24,81.77,2023-01-05
ORD-1199,Lori Maynard,Corporate,United States,Central,Technology,Printer,2681.17,8,0.17,544.24,2023-07-16
ORD-1200,Jonathan King,Consumer,United States,Central,Office Supplies,Stapler,1673.42,9,0.12,324.18,2023-02-02
ORD-1201,Anthony Craig,Consumer,United Kingdom,East,Office Supplies,Stapler,1190.87,9,0.26,291.84,2023-07-23
ORD-1202,Eric Cook,Home Office,France,West,Furniture,Sofa,4024.12,9,0.02,326.12,2023-03-07
ORD-1203,Robert Watkins,Consumer,United Kingdom,West,Furniture,Bookcase,517.1,4,0.28,141.55,2023-01-12
ORD-1204,Tanya Dudley,Consumer,United Kingdom,West,Technology,Printer,778.0,3,0.18,57.07,2023-07-26
ORD-1205,Johnathan Pineda DDS,Home Office,Canada,West,Furniture,Bookcase,223.41,10,0.26,15.71,2023-12-12
ORD-1206,Jason Cooper,Home Office,France,Central,Technology,Monitor,1734.45,10,0.19,302.68,2023-08-23
ORD-1207,Kelly Diaz,Home Office,France,Central,Technology,Printer,790.34,8,0.24,119.75,2023-09-11
ORD-1208,Mario Elliott,Corporate,United States,East,Furniture,Sofa,1627.1,7,0.06,328.13,2023-12-14
ORD-1209,Jacob Munoz,Corporate,Australia,Central,Technology,Printer,461.52,7,0.11,87.88,2023-11-06
ORD-1210,Sonia Ortiz,Corporate,Canada,South,Furniture,Bookcase,1020.28,8,0.03,125.04,2023-10-23
ORD-1211,Curtis Jackson,Corporate,France,South,Furniture,Table,2188.09,6,0.22,213.25,2023-04-01
ORD-1212,Haley Morgan,Consumer,Germany,South,Office Supplies,Pen,123.03,8,0.28,21.7,2023-11-22
ORD-1213,Mrs. Amanda Reyes,Consumer,Canada,Central,Furniture,Chair,934.25,5,0.26,199.52,2023-09-24
ORD-1214,James Rogers,Corporate,United Kingdom,East,Furniture,Sofa,1035.22,3,0.22,249.45,2023-10-01
ORD-1215,Jay Brooks,Corporate,United States,South,Furniture,Table,1652.75,6,0.02,290.99,2023-04-13
ORD-1216,Daniel Smith MD,Home Office,United Kingdom,East,Furniture,Chair,945.06,7,0.3,179.05,2023-04-07
ORD-1217,Emily Mcdaniel,Corporate,Canada,West,Technology,Phone,264.81,9,0.01,60.48,2023-12-04
ORD-1218,Angela Haynes,Corporate,France,South,Furniture,Table,2518.4,6,0.1,373.32,2023-04-12
ORD-1219,Duane Hill,Home Office,Australia,Central,Technology,Printer,3143.9,9,0.16,714.25,2023-05-02
ORD-1220,Brian Richardson,Corporate,Germany,East,Office Supplies,Pen,803.85,2,0.18,200.31,2023-03-07
ORD-1221,Tom Matthews,Home Office,Australia,East,Technology,Phone,1862.86,5,0.23,454.61,2023-11-28
ORD-1222,Yvette Coffey,Home Office,Canada,East,Technology,Phone,624.48,3,0.22,152.16,2023-12-12
ORD-1223,Dave Simpson,Corporate,Canada,West,Furniture,Chair,70.18,4,0.09,6.17,2023-09-29
ORD-1224,Carolyn Lee,Home Office,Canada,South,Technology,Phone,298.9,1,0.16,56.86,2023-02-16
ORD-1225,Heather Frank,Home Office,Germany,South,Office Supplies,Binder,3289.97,8,0.1,455.9,2023-09-09
ORD-1226,Raymond Gutierrez,Home Office,Australia,Central,Technology,Phone,1763.09,4,0.08,219.72,2023-03-08
ORD-1227,Carolyn Barnes,Corporate,United Kingdom,West,Technology,Phone,1220.6,6,0.17,346.19,2023-02-09
ORD-1228,Lisa Fowler,Home Office,United Kingdom,Central,Furniture,Sofa,2042.67,7,0.29,513.02,2023-08-16
ORD-1229,Jonathan Thomas,Corporate,United States,Central,Technology,Laptop,2221.25,6,0.2,526.07,2023-01-14
ORD-1230,Heather Pham,Consumer,Canada,Central,Technology,Printer,148.64,3,0.22,16.32,2023-07-30
ORD-1231,Alice Curry,Consumer,Australia,West,Technology,Monitor,53.19,1,0.1,8.94,2023-12-18
ORD-1232,Sarah Valdez,Home Office,Canada,East,Technology,Monitor,1708.99,7,0.26,288.69,2023-10-29
ORD-1233,Leslie Hodges,Home Office,Canada,Central,Office Supplies,Pen,441.24,1,0.03,85.39,2023-05-25
ORD-1234,Tom Paul,Home Office,Australia,East,Furniture,Sofa,1388.83,3,0.01,359.78,2023-07-28
ORD-1235,Lisa Brown,Corporate,Canada,Central,Furniture,Chair,1398.25,5,0.03,413.53,2023-08-03
ORD-1236,Nicholas White,Corporate,Germany,South,Furniture,Sofa,506.73,5,0.03,45.92,2023-11-09
ORD-1237,Michael Johnson,Corporate,Australia,Central,Technology,Monitor,281.91,1,0.24,54.11,2023-08-19
ORD-1238,Amanda Brown,Consumer,Canada,South,Office Supplies,Pen,400.44,2,0.03,118.3,2023-10-09
ORD-1239,Stephanie Diaz,Corporate,United Kingdom,West,Furniture,Bookcase,675.96,7,0.23,195.02,2023-11-05
ORD-1240,David Moore,Corporate,France,East,Office Supplies,Pen,155.29,4,0.04,19.68,2023-09-02
